
x=-0.615752  erro_sin=2.932099e-13
x=-0.603186  erro_sin=2.243761e-13
x=-0.590619  erro_sin=1.705303e-13
x=-0.578053  erro_sin=1.290079e-13
x=-0.565487  erro_sin=9.692247e-14
x=-0.552920  erro_sin=7.238654e-14
x=-0.540354  erro_sin=5.373479e-14
x=-0.527788  erro_sin=3.952394e-14
x=-0.515221  erro_sin=2.892131e-14
x=-0.502655  erro_sin=2.098322e-14
x=-0.490088  erro_sin=1.509903e-14
x=-0.477522  erro_sin=1.076916e-14
x=-0.464956  erro_sin=7.605028e-15
x=-0.452389  erro_sin=5.329071e-15
x=-0.439823  erro_sin=3.663736e-15
x=-0.427257  erro_sin=2.498002e-15
x=-0.414690  erro_sin=1.720846e-15
x=-0.402124  erro_sin=1.165734e-15
x=-0.389557  erro_sin=7.216450e-16
x=-0.376991  erro_sin=4.996004e-16
x=-0.364425  erro_sin=2.775558e-16
x=-0.351858  erro_sin=2.220446e-16
x=-0.339292  erro_sin=1.665335e-16
x=-0.326726  erro_sin=5.551115e-17
x=-0.314159  erro_sin=1.110223e-16
x=-0.301593  erro_sin=5.551115e-17
x=-0.289027  erro_sin=0.000000e+00
x=-0.276460  erro_sin=0.000000e+00
x=-0.263894  erro_sin=5.551115e-17
x=-0.251327  erro_sin=0.000000e+00
x=-0.238761  erro_sin=0.000000e+00
x=-0.226195  erro_sin=0.000000e+00
x=-0.213628  erro_sin=0.000000e+00
x=-0.201062  erro_sin=0.000000e+00
x=-0.188496  erro_sin=0.000000e+00
x=-0.175929  erro_sin=0.000000e+00
x=-0.163363  erro_sin=0.000000e+00
x=-0.150796  erro_sin=0.000000e+00
x=-0.138230  erro_sin=0.000000e+00
x=-0.125664  erro_sin=2.775558e-17
x=-0.113097  erro_sin=1.387779e-17
x=-0.100531  erro_sin=0.000000e+00
x=-0.087965  erro_sin=0.000000e+00
x=-0.075398  erro_sin=0.000000e+00
x=-0.062832  erro_sin=0.000000e+00
x=-0.050265  erro_sin=0.000000e+00
x=-0.037699  erro_sin=0.000000e+00
x=-0.025133  erro_sin=0.000000e+00
x=-0.012566  erro_sin=0.000000e+00
x=0.000000  erro_sin=0.000000e+00
x=0.012566  erro_sin=1.734723e-18
x=0.025133  erro_sin=0.000000e+00
x=0.037699  erro_sin=0.000000e+00
x=0.050265  erro_sin=0.000000e+00
x=0.062832  erro_sin=0.000000e+00
x=0.075398  erro_sin=0.000000e+00
x=0.087965  erro_sin=0.000000e+00
x=0.100531  erro_sin=1.387779e-17
x=0.113097  erro_sin=0.000000e+00
x=0.125664  erro_sin=0.000000e+00
x=0.138230  erro_sin=0.000000e+00
x=0.150796  erro_sin=0.000000e+00
x=0.163363  erro_sin=0.000000e+00
x=0.175929  erro_sin=0.000000e+00
x=0.188496  erro_sin=0.000000e+00
x=0.201062  erro_sin=0.000000e+00
x=0.213628  erro_sin=0.000000e+00
x=0.226195  erro_sin=2.775558e-17
x=0.238761  erro_sin=0.000000e+00
x=0.251327  erro_sin=0.000000e+00
x=0.263894  erro_sin=0.000000e+00
x=0.276460  erro_sin=0.000000e+00
x=0.289027  erro_sin=0.000000e+00
x=0.301593  erro_sin=5.551115e-17
x=0.314159  erro_sin=5.551115e-17
x=0.326726  erro_sin=1.110223e-16
x=0.339292  erro_sin=1.110223e-16
x=0.351858  erro_sin=2.220446e-16
x=0.364425  erro_sin=2.775558e-16
x=0.376991  erro_sin=4.996004e-16
x=0.389557  erro_sin=7.771561e-16
x=0.402124  erro_sin=1.110223e-15
x=0.414690  erro_sin=1.720846e-15
x=0.427257  erro_sin=2.498002e-15
x=0.439823  erro_sin=3.663736e-15
x=0.452389  erro_sin=5.329071e-15
x=0.464956  erro_sin=7.549517e-15
x=0.477522  erro_sin=1.071365e-14
x=0.490088  erro_sin=1.504352e-14
x=0.502655  erro_sin=2.098322e-14
x=0.515221  erro_sin=2.892131e-14
x=0.527788  erro_sin=3.952394e-14
x=0.540354  erro_sin=5.373479e-14
x=0.552920  erro_sin=7.238654e-14
x=0.565487  erro_sin=9.703349e-14
x=0.578053  erro_sin=1.290079e-13
x=0.590619  erro_sin=1.706413e-13
x=0.603186  erro_sin=2.242651e-13
x=0.615752  erro_sin=2.932099e-13
x=0.628319  erro_sin=3.813616e-13
x=0.640885  erro_sin=4.931611e-13
x=0.653451  erro_sin=6.348255e-13
x=0.666018  erro_sin=8.130163e-13
x=0.678584  erro_sin=1.036504e-12
x=0.691150  erro_sin=1.315725e-12
x=0.703717  erro_sin=1.662892e-12
x=0.716283  erro_sin=2.092992e-12
x=0.728849  erro_sin=2.623790e-12
x=0.741416  erro_sin=3.276268e-12
x=0.753982  erro_sin=4.076073e-12
x=0.766549  erro_sin=5.052625e-12
x=0.779115  erro_sin=6.241341e-12
x=0.791681  erro_sin=3.474998e-13
x=0.804248  erro_sin=2.767786e-13
x=0.816814  erro_sin=2.196021e-13
x=0.829380  erro_sin=1.735279e-13
x=0.841947  erro_sin=1.367795e-13
x=0.854513  erro_sin=1.071365e-13
x=0.867080  erro_sin=8.371082e-14
x=0.879646  erro_sin=6.505907e-14
x=0.892212  erro_sin=5.040413e-14
x=0.904779  erro_sin=3.874678e-14
x=0.917345  erro_sin=2.964295e-14
x=0.929911  erro_sin=2.264855e-14
x=0.942478  erro_sin=1.709743e-14
x=0.955044  erro_sin=1.298961e-14
